File,RNR,Role,GeneticNK,FosterNK,CaptureDate,Treatment,Pair,Library,Mol_sex,Age,Category
BD_83136_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83136,Chick,WH.0175.0,WH.0109.0,2018-05-18,Reduced,109_175,B3,Female,Nestling,Nest B Cross-fostered
BD_83137_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83137,Chick,WH.0175.0,WH.0109.0,2018-05-18,Reduced,109_175,B3,Female,Nestling,Nest B Cross-fostered
BD_83119_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83119,Chick,WH.0109.0,WH.0175.0,2018-05-19,Enlarged,109_175,B3,Female,Nestling,Nest A Cross-fostered
BD_83120_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83120,Chick,WH.0109.0,WH.0175.0,2018-05-19,Enlarged,109_175,B3,Male,Nestling,Nest A Cross-fostered
BD_83121_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83121,Chick,WH.0109.0,WH.0175.0,2018-05-19,Enlarged,109_175,B3,Female,Nestling,Nest A Cross-fostered
BD_83116_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83116,Chick,WH.0175.0,WH.0175.0,2018-05-19,Enlarged,109_175,B3,Female,Nestling,Nest B Stayed
BD_83122_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83122,Chick,WH.0175.0,WH.0175.0,2018-05-19,Enlarged,109_175,B3,Male,Nestling,Nest B Stayed
BD_83123_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83123,Chick,WH.0175.0,WH.0175.0,2018-05-19,Enlarged,109_175,B3,Male,Nestling,Nest B Stayed
BD_30651_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30651,Chick,WH.0049.0,WH.0049.0,2018-05-19,Control,49_75,B3,Female,Nestling,Nest A Stayed
BD_30656_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30656,Chick,WH.0049.0,WH.0049.0,2018-05-19,Control,49_75,B3,Female,Nestling,Nest A Stayed
BD_30652_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30652,Chick,WH.0075.0,WH.0049.0,2018-05-19,Control,49_75,B3,Female,Nestling,Nest B Cross-fostered
