RNR	BroodofOrigin	BroodofRearing	CF_pair	Age	Treatment
BD_83115	WH.0720.0	BL.0327.0	327_720	13	Reduced
BD_83111	WH.0720.0	BL.0327.0	327_720	13	Reduced
BD_83114	BL.0327.0	BL.0327.0	327_720	14	Reduced
BD_83113	BL.0327.0	BL.0327.0	327_720	14	Reduced
BD_83112	BL.0327.0	BL.0327.0	327_720	14	Reduced
BD_83718	WH.0717.0	WH.0717.0	39_717	14	Control
BD_83717	WH.0717.0	WH.0717.0	39_717	14	Control
BD_83395	WH.0039.0	WH.0039.0	39_717	14	Control
BD_83394	WH.0717.0	WH.0039.0	39_717	14	Control
BD_83393	WH.0717.0	WH.0039.0	39_717	14	Control
BD_83392	WH.0039.0	WH.0039.0	39_717	14	Control
BD_83391	WH.0717.0	WH.0039.0	39_717	14	Control
BD_83390	WH.0717.0	WH.0039.0	39_717	14	Control
BD_83389	WH.0039.0	WH.0039.0	39_717	14	Control
BD_83388	WH.0039.0	WH.0039.0	39_717	14	Control
BD_83387	WH.0039.0	WH.0039.0	39_717	14	Control
BD_83386	WH.0717.0	WH.0717.0	39_717	14	Control
BD_83385	WH.0039.0	WH.0717.0	39_717	14	Control
BD_83384	WH.0039.0	WH.0717.0	39_717	14	Control
BD_83383	WH.0717.0	WH.0717.0	39_717	14	Control
BD_83382	WH.0717.0	WH.0717.0	39_717	14	Control
BD_83381	WH.0039.0	WH.0717.0	39_717	14	Control
BD_83380	WH.0039.0	WH.0717.0	39_717	14	Control
BD_83308	WH.0073.0	WH.0041.0	41_73	14	Control
BD_83307	WH.0041.0	WH.0041.0	41_73	14	Control
BD_83306	WH.0073.0	WH.0041.0	41_73	14	Control
BD_83305	WH.0041.0	WH.0041.0	41_73	14	Control
BD_83304	WH.0041.0	WH.0041.0	41_73	14	Control
BD_83303	WH.0041.0	WH.0041.0	41_73	14	Control
BD_83302	WH.0041.0	WH.0041.0	41_73	14	Control
BD_83301	WH.0073.0	WH.0041.0	41_73	14	Control
BD_30750	WH.0041.0	WH.0073.0	41_73	14	Control
BD_30749	WH.0073.0	WH.0073.0	41_73	14	Control
BD_30748	WH.0041.0	WH.0073.0	41_73	14	Control
BD_30747	WH.0041.0	WH.0073.0	41_73	14	Control
BD_30746	WH.0073.0	WH.0073.0	41_73	14	Control
BD_30745	WH.0073.0	WH.0073.0	41_73	14	Control
BD_30744	WH.0041.0	WH.0073.0	41_73	14	Control
BD_83200	WH.0049.0	WH.0075.0	49_75	14	Control
BD_83199	WH.0075.0	WH.0075.0	49_75	14	Control
BD_83198	WH.0075.0	WH.0075.0	49_75	14	Control
BD_83196	WH.0075.0	WH.0075.0	49_75	14	Control
BD_83195	WH.0049.0	WH.0075.0	49_75	14	Control
BD_83194	WH.0075.0	WH.0075.0	49_75	14	Control
BD_30737	WH.0075.0	WH.0049.0	49_75	14	Control
BD_30657	WH.0075.0	WH.0049.0	49_75	14	Control
BD_30656	WH.0049.0	WH.0049.0	49_75	14	Control
BD_30655	WH.0049.0	WH.0049.0	49_75	14	Control
BD_30654	WH.0049.0	WH.0049.0	49_75	14	Control
BD_30653	WH.0049.0	WH.0049.0	49_75	14	Control
BD_30652	WH.0075.0	WH.0049.0	49_75	14	Control
BD_30651	WH.0049.0	WH.0049.0	49_75	14	Control
BD_83751	WH.0005.0	WH.0005.0	5_13	14	Control
BD_30678	WH.0005.0	WH.0005.0	5_13	14	Control
BD_30677	WH.0013.0	WH.0005.0	5_13	14	Control
BD_30675	WH.0005.0	WH.0005.0	5_13	14	Control
BD_30674	WH.0013.0	WH.0005.0	5_13	14	Control
BD_30673	WH.0013.0	WH.0005.0	5_13	14	Control
BD_30672	WH.0005.0	WH.0005.0	5_13	14	Control
BD_30671	WH.0005.0	WH.0005.0	5_13	14	Control
BD_30670	WH.0005.0	WH.0013.0	5_13	14	Control
BD_30669	WH.0005.0	WH.0013.0	5_13	14	Control
BD_30668	WH.0005.0	WH.0013.0	5_13	14	Control
BD_30667	WH.0013.0	WH.0013.0	5_13	14	Control
BD_30666	WH.0013.0	WH.0013.0	5_13	14	Control
BD_30665	WH.0013.0	WH.0013.0	5_13	14	Control
BD_30664	WH.0005.0	WH.0013.0	5_13	14	Control
BD_30663	WH.0013.0	WH.0013.0	5_13	14	Control
BD_83322	WH.0087.0	WH.0087.0	51_87	14	Control
BD_83179	WH.0087.0	WH.0087.0	51_87	14	Control
BD_83178	WH.0051.0	WH.0087.0	51_87	14	Control
BD_83177	WH.0087.0	WH.0087.0	51_87	14	Control
BD_83176	WH.0051.0	WH.0087.0	51_87	14	Control
BD_83175	WH.0051.0	WH.0087.0	51_87	14	Control
BD_83174	WH.0087.0	WH.0087.0	51_87	14	Control
BD_83173	WH.0051.0	WH.0087.0	51_87	14	Control
BD_83172	WH.0087.0	WH.0087.0	51_87	14	Control
BD_83171	WH.0087.0	WH.0087.0	51_87	14	Control
BD_83145	WH.0051.0	WH.0051.0	51_87	14	Control
BD_83144	WH.0051.0	WH.0051.0	51_87	14	Control
BD_83102	WH.0051.0	WH.0051.0	51_87	14	Control
BD_83101	WH.0087.0	WH.0051.0	51_87	14	Control
BD_83045	WH.0087.0	WH.0051.0	51_87	14	Control
BD_83044	WH.0087.0	WH.0051.0	51_87	14	Control
BD_83043	WH.0051.0	WH.0051.0	51_87	14	Control
BD_83042	WH.0051.0	WH.0051.0	51_87	14	Control
BD_83041	WH.0087.0	WH.0051.0	51_87	14	Control
BD_83040	WH.0051.0	WH.0051.0	51_87	14	Control
BD_83712	WH.0055.0	WH.0061.0	55_61	14	Control
BD_83711	WH.0061.0	WH.0061.0	55_61	14	Control
BD_83710	WH.0061.0	WH.0061.0	55_61	14	Control
BD_83709	WH.0055.0	WH.0061.0	55_61	14	Control
BD_83708	WH.0061.0	WH.0061.0	55_61	14	Control
BD_83707	WH.0055.0	WH.0061.0	55_61	14	Control
BD_83706	WH.0061.0	WH.0061.0	55_61	14	Control
BD_83705	WH.0061.0	WH.0061.0	55_61	14	Control
BD_83704	WH.0055.0	WH.0061.0	55_61	14	Control
BD_83703	WH.0055.0	WH.0055.0	55_61	14	Control
BD_83702	WH.0055.0	WH.0055.0	55_61	14	Control
BD_83701	WH.0061.0	WH.0055.0	55_61	14	Control
BD_83607	WH.0055.0	WH.0055.0	55_61	14	Control
BD_83400	WH.0061.0	WH.0055.0	55_61	14	Control
BD_83399	WH.0055.0	WH.0055.0	55_61	14	Control
BD_83398	WH.0061.0	WH.0055.0	55_61	14	Control
BD_83397	WH.0061.0	WH.0055.0	55_61	14	Control
BD_83396	WH.0055.0	WH.0055.0	55_61	14	Control
BD_83028	WH.0069.0	WH.0069.0	69_79	14	Control
BD_83027	WH.0069.0	WH.0069.0	69_79	14	Control
BD_83023	WH.0069.0	WH.0069.0	69_79	14	Control
BD_83007	WH.0069.0	WH.0079.0	69_79	14	Control
BD_83002	WH.0069.0	WH.0079.0	69_79	14	Control
BD_83001	WH.0069.0	WH.0079.0	69_79	14	Control
BD_83026	WH.0079.0	WH.0069.0	69_79	15	Control
BD_83025	WH.0079.0	WH.0069.0	69_79	15	Control
BD_83024	WH.0079.0	WH.0069.0	69_79	15	Control
BD_83006	WH.0079.0	WH.0079.0	69_79	15	Control
BD_83005	WH.0079.0	WH.0079.0	69_79	15	Control
BD_83004	WH.0079.0	WH.0079.0	69_79	15	Control
BD_83003	WH.0079.0	WH.0079.0	69_79	15	Control
BD_83143	WH.0071.0	WH.0071.0	7_71	14	Control
BD_83050	WH.0071.0	WH.0071.0	7_71	14	Control
BD_83047	WH.0071.0	WH.0071.0	7_71	14	Control
BD_83049	WH.0007.0	WH.0071.0	7_71	15	Control
BD_83048	WH.0007.0	WH.0071.0	7_71	15	Control
BD_83046	WH.0007.0	WH.0071.0	7_71	15	Control
BD_83218	WH.0097.0	WH.0097.0	723_97	14	Enlarged
BD_83217	WH.0097.0	WH.0097.0	723_97	14	Enlarged
BD_83216	WH.0097.0	WH.0097.0	723_97	14	Enlarged
BD_83215	WH.0097.0	WH.0097.0	723_97	14	Enlarged
BD_83214	WH.0097.0	WH.0097.0	723_97	14	Enlarged
BD_83213	WH.0723.0	WH.0097.0	723_97	14	Enlarged
BD_83212	WH.0097.0	WH.0097.0	723_97	14	Enlarged
BD_83211	WH.0723.0	WH.0097.0	723_97	14	Enlarged
BD_83210	WH.0097.0	WH.0097.0	723_97	14	Enlarged
BD_83209	WH.0723.0	WH.0097.0	723_97	14	Enlarged
BD_83208	WH.0097.0	WH.0097.0	723_97	14	Enlarged
BD_83207	WH.0723.0	WH.0097.0	723_97	14	Enlarged
BD_83205	WH.0723.0	WH.0097.0	723_97	14	Enlarged
BD_83204	WH.0097.0	WH.0723.0	723_97	14	Reduced
BD_83203	WH.0723.0	WH.0723.0	723_97	14	Reduced
BD_83202	WH.0097.0	WH.0723.0	723_97	14	Reduced
BD_83201	WH.0723.0	WH.0723.0	723_97	14	Reduced
BD_30573	WH.0083.0	WH.0705.0	83_705	14	Enlarged
BD_30572	WH.0705.0	WH.0705.0	83_705	14	Enlarged
BD_30571	WH.0083.0	WH.0705.0	83_705	14	Enlarged
BD_30570	WH.0705.0	WH.0705.0	83_705	14	Enlarged
